@relation 'stylometry-aimed-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AddClassification-distribution-Wweka.classifiers.lazy.IBk -K 11 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,105,106,104'

@attribute fog_index numeric
@attribute fog_index_WSW numeric
@attribute monosyllabic_fog_index numeric
@attribute monosyllabic_fog_index_WSW numeric
@attribute inverse_fog_index numeric
@attribute inverse_fog_index_WSW numeric
@attribute forcast numeric
@attribute forcast_WSW numeric
@attribute smog_index numeric
@attribute smog_index_WSW numeric
@attribute fkri numeric
@attribute fkri_WSW numeric
@attribute flesch numeric
@attribute flesch_WSW numeric
@attribute complex_word numeric
@attribute complex_word_percent numeric
@attribute complex_word_WSW numeric
@attribute complex_word_WSW_percent numeric
@attribute monosyllabic_word numeric
@attribute monosyllabic_word_percent numeric
@attribute monosyllabic_word_WSW numeric
@attribute monosyllabic_word_WSW_percent numeric
@attribute word_length numeric
@attribute word_length_WSW numeric
@attribute syllable_count numeric
@attribute syllables_count_WSW numeric
@attribute long_sentence {true,false}
@attribute short_sentence {true,false}
@attribute word_count numeric
@attribute function_word numeric
@attribute function_word_percent numeric
@attribute content_word numeric
@attribute content_word_percent numeric
@attribute named_entity numeric
@attribute named_entity_percent numeric
@attribute named_entity_WSW numeric
@attribute named_entity_WSW_percent numeric
@attribute alpha_numeric numeric
@attribute alpha_numeric_percent numeric
@attribute alpha_numeric_WSW numeric
@attribute alpha_numeric_WSW_percent numeric
@attribute verb numeric
@attribute verb_percent numeric
@attribute verb_WSW numeric
@attribute verb_WSW_percent numeric
@attribute acronym numeric
@attribute acronym_percent numeric
@attribute acronym_WSW numeric
@attribute acronym_WSW_percent numeric
@attribute semantic_word numeric
@attribute semantic_word_percent numeric
@attribute semantic_word_WSW numeric
@attribute semantic_word_WSW_percent numeric
@attribute alphabet_words numeric
@attribute alphabet_words_percent numeric
@attribute alphabet_words_WSW numeric
@attribute alphabet_words_WSW_percent numeric
@attribute numeric_words numeric
@attribute numeric_words_percent numeric
@attribute numeric_words_WSW numeric
@attribute numeric_words_WSW_percent numeric
@attribute lowercase_words numeric
@attribute lowercase_words_percent numeric
@attribute lowercase_words_WSW numeric
@attribute lowercase_words_WSW_percent numeric
@attribute uppercase_words numeric
@attribute uppercase_words_percent numeric
@attribute uppercase_words_WSW numeric
@attribute uppercase_words_WSW_percent numeric
@attribute long_word numeric
@attribute long_word_percent numeric
@attribute long_word_WSW numeric
@attribute long_word_WSW_percent numeric
@attribute unique_word numeric
@attribute unique_word_percent numeric
@attribute unique_word_WSW numeric
@attribute unique_word_WSW_percent numeric
@attribute repeated_word numeric
@attribute repeated_word_percent numeric
@attribute repeated_word_WSW numeric
@attribute repeated_word_WSW_percent numeric
@attribute pos_conjunction numeric
@attribute pos_number numeric
@attribute pos_determiner numeric
@attribute pos_preposition numeric
@attribute pos_adjective numeric
@attribute pos_noun numeric
@attribute pos_pronoun numeric
@attribute pos_adverb numeric
@attribute pos_verb numeric
@attribute pos_interjection numeric
@attribute pos_foreign numeric
@attribute pos_list numeric
@attribute pos_possessive numeric
@attribute pos_particle numeric
@attribute pos_symbol numeric
@attribute character_count numeric
@attribute character_count_WSW numeric
@attribute character_per_word numeric
@attribute character_per_word_WSW numeric
@attribute character_without_space numeric
@attribute character_without_space_WSW numeric
@attribute special_char {true,false}
@attribute distribution_positive numeric
@attribute distribution_negative numeric
@attribute class {positive,negative}

@data
0.175666,0.272285,0.363636,0.457232,0.028248,0.022052,0.363636,0.5,0.258199,0.262613,0.199536,0.320794,0.408701,0.243483,0.066667,0.272727,0.068966,0.25,0.083333,0.636364,0.117647,0.5,0.27972,0.307692,0.07563,0.085714,false,true,0.071942,0.053571,0.371901,0.084337,0.628099,0.133333,0.363636,0.148148,0.5,0.084034,0.909091,0.111111,0.875,0,0,0,0,0.068182,0.272727,0.066667,0.125,0.142857,0.386364,0.153846,0.3125,0.067797,0.545455,0.080645,0.53125,0,0,0,0,0.076923,0.651885,0.119048,0.625,0.125,0.181818,0.071429,0.125,0.108108,0.363636,0.114286,0.5,0.098039,1,0.1,1,0,0,0,0,0.454545,0.327273,0,0.545455,0,0.494949,0,0,0.220779,0,0,0,0,0,0,0.068966,0.082645,0.235795,0.232558,0.068273,0.082375,true,0.181848,0.818152,negative
0.309041,0.549212,0.3751,0.370387,0.013661,0.006877,0.421053,0.636364,0.447214,0.454859,0.281002,0.465044,0.224841,0,0.2,0.473684,0.206897,0.545455,0.130952,0.578947,0.117647,0.363636,0.34413,0.447552,0.147059,0.148571,false,true,0.129496,0.142857,0.574163,0.120482,0.425837,0.1,0.157895,0.148148,0.363636,0.151261,0.947368,0.15873,0.909091,0.1,0.135338,0.1,0.181818,0.136364,0.315789,0.066667,0.090909,0.142857,0.223684,0.153846,0.227273,0.135593,0.736842,0.129032,0.659091,0,0,0,0,0.153846,0.754814,0.166667,0.636364,0.125,0.105263,0.142857,0.181818,0.189189,0.368421,0.171429,0.545455,0.147059,0.712919,0.142857,1,0.081081,0.287081,0,0,0.526316,0,0.442105,0.631579,0.105263,0.356725,0,0,0.12782,0,0,0,0,0,0,0.135632,0.138843,0.324013,0.383721,0.135207,0.141762,true,0.181848,0.818152,negative
0.327751,0.449425,0.404126,0.423088,0.012546,0.01023,0.483871,0.681818,0.483046,0.491304,0.363504,0.524234,0.095925,0,0.233333,0.33871,0.241379,0.318182,0.190476,0.516129,0.205882,0.318182,0.359801,0.405594,0.247899,0.285714,true,false,0.215827,0.160714,0.395894,0.253012,0.604106,0.133333,0.129032,0.148148,0.181818,0.235294,0.903226,0.301587,0.863636,0.15,0.124424,0.15,0.136364,0.136364,0.193548,0.133333,0.090909,0.285714,0.274194,0.307692,0.227273,0.211864,0.596774,0.258065,0.573864,0.066667,0.086022,0.066667,0.090909,0.241758,0.726987,0.333333,0.636364,0.25,0.129032,0.214286,0.136364,0.351351,0.419355,0.371429,0.590909,0.27451,0.882698,0.3,1,0.054054,0.117302,0,0,0.403226,0.116129,0,0.387097,0.322581,0.390681,0.16129,0,0.313364,0,0,0,0,0,0,0.244828,0.284298,0.41129,0.372093,0.246319,0.289272,true,0.090947,0.909053,negative
0.282003,0.393537,0.447051,0.36946,0.015527,0.012835,0.37931,0.6875,0.408248,0.415227,0.304662,0.454808,0.284237,0.002021,0.166667,0.258621,0.172414,0.3125,0.214286,0.62069,0.147059,0.3125,0.265252,0.384615,0.201681,0.2,false,false,0.201439,0.232143,0.611285,0.180723,0.388715,0.2,0.206897,0.037037,0.0625,0.226891,0.931034,0.222222,0.875,0.05,0.044335,0.05,0.0625,0.181818,0.275862,0.133333,0.125,0.142857,0.146552,0.153846,0.15625,0.228814,0.913793,0.225806,0.882813,0.066667,0.091954,0.066667,0.125,0.241758,0.777124,0.261905,0.6875,0.3125,0.172414,0.214286,0.1875,0.243243,0.310345,0.257143,0.5625,0.245098,0.811912,0.214286,1,0.081081,0.188088,0,0,0.603448,0.124138,0.289655,0.724138,0.137931,0.425287,0,0.103448,0.083744,0,0,0,0,0,0.178161,0.208046,0.204959,0.314655,0.376453,0.203481,0.208812,true,0.272748,0.727252,negative
0.122748,0.025527,0.402187,0.424572,0.042395,0.243618,0.307692,0.5,0.182574,0,0.147367,0.156092,0.631097,0.625928,0.033333,0.115385,0,0,0.107143,0.692308,0.058824,0.5,0.147929,0.153846,0.071429,0.028571,false,true,0.086331,0.160714,0.944056,0.036145,0.055944,0.033333,0.076923,0,0,0.092437,0.846154,0.031746,0.5,0.05,0.098901,0.05,0.25,0.068182,0.230769,0.066667,0.25,0.142857,0.326923,0.153846,0.625,0.09322,0.807692,0.032258,0.53125,0.066667,0.205128,0.066667,0.5,0.098901,0.709193,0.047619,0.5,0.125,0.153846,0.071429,0.25,0.054054,0.153846,0.028571,0.25,0.107843,0.86014,0.042857,1,0.027027,0.13986,0,0,0.576923,0.276923,0.430769,0.692308,0.153846,0.230769,0,0.230769,0.186813,0,0,0,0,0,0.397436,0.07931,0.034711,0.201923,0.200581,0.074967,0.034483,true,0.181848,0.818152,negative
0.21062,0.306321,0.3751,0.557932,0.02269,0.018748,0.421053,0.416667,0.316228,0.321634,0.241289,0.311816,0.371769,0.326308,0.1,0.236842,0.103448,0.25,0.130952,0.578947,0.205882,0.583333,0.263158,0.25641,0.130252,0.12,false,true,0.129496,0.125,0.502392,0.13253,0.497608,0.066667,0.105263,0.222222,0.5,0.142857,0.894737,0.15873,0.833333,0.05,0.067669,0.05,0.083333,0.136364,0.315789,0.133333,0.166667,0.357143,0.559211,0.230769,0.3125,0.127119,0.605263,0.129032,0.53125,0.2,0.421053,0.2,0.5,0.142857,0.700899,0.142857,0.5,0.125,0.105263,0.142857,0.166667,0.108108,0.210526,0.114286,0.333333,0.166667,0.904306,0.142857,0.888889,0.027027,0.095694,0.052632,0.111111,0.526316,0.568421,0.147368,0.631579,0,0.356725,0,0,0.255639,0,0,0,0,0,0,0.122989,0.12562,0.233553,0.21124,0.119143,0.124521,true,0.181848,0.818152,negative
0.175666,0.272285,0.31749,0.355171,0.028248,0.022052,0.454545,0.625,0.258199,0.262613,0.182387,0.288229,0.472147,0.330721,0.066667,0.272727,0.068966,0.25,0.071429,0.545455,0.088235,0.375,0.244755,0.269231,0.071429,0.08,false,true,0.071942,0.053571,0.371901,0.084337,0.628099,0.033333,0.090909,0,0,0.067227,0.727273,0.079365,0.625,0.05,0.116883,0.05,0.125,0.068182,0.272727,0.133333,0.25,0.142857,0.386364,0.153846,0.3125,0.076271,0.772727,0.096774,0.765625,0.066667,0.242424,0.066667,0.25,0.065934,0.558758,0.095238,0.5,0.1875,0.272727,0.142857,0.25,0.108108,0.363636,0.114286,0.5,0.088235,0.834711,0.085714,0.833333,0.027027,0.165289,0.052632,0.166667,0.227273,0.327273,0,0.272727,0,0.393939,0,0.272727,0.662338,0,0,0,0,0,0.469697,0.08046,0.092562,0.377841,0.328488,0.078983,0.09387,true,0.45455,0.54545,negative
0.458421,0.530131,0.612521,0.648982,0.007265,0.007423,0.333333,0.515152,0.57735,0.58722,0.461657,0.528161,0.114806,0.055301,0.333333,0.263158,0.344828,0.30303,0.452381,0.666667,0.470588,0.484848,0.22942,0.298368,0.378151,0.365714,true,false,0.402878,0.428571,0.574163,0.385542,0.425837,0.233333,0.122807,0.259259,0.212121,0.411765,0.859649,0.396825,0.757576,0.2,0.090226,0.2,0.121212,0.431818,0.333333,0.333333,0.151515,0.714286,0.372807,0.769231,0.378788,0.398305,0.605263,0.370968,0.488636,0.4,0.280702,0.4,0.363636,0.43956,0.71887,0.452381,0.575758,0.375,0.105263,0.285714,0.121212,0.378378,0.245614,0.4,0.424242,0.392157,0.489633,0.371429,0.757576,0.432432,0.510367,0.315789,0.242424,0.570175,0.378947,0.294737,0.631579,0.140351,0.259259,0,0.157895,0.170426,0,0,0,0,0,0.181287,0.389655,0.391736,0.255482,0.27907,0.37751,0.39272,true,0.45455,0.54545,negative
0.295043,0.540789,0.331641,0.238595,0.014585,0.007113,0.466667,0.777778,0.408248,0.415227,0.27592,0.503086,0.18487,0,0.166667,0.5,0.172414,0.555556,0.095238,0.533333,0.058824,0.222222,0.384615,0.512821,0.121849,0.131429,false,true,0.100719,0.107143,0.545455,0.096386,0.454545,0.1,0.2,0,0,0.12605,1,0.142857,1,0.05,0.085714,0.05,0.111111,0.090909,0.266667,0,0,0.214286,0.425,0.230769,0.416667,0.110169,0.833333,0.112903,0.791667,0,0,0,0,0.120879,0.75122,0.166667,0.777778,0.125,0.133333,0.071429,0.111111,0.189189,0.466667,0.2,0.777778,0.137255,1,0.114286,1,0,0,0,0,0.5,0,0.186667,0.6,0.4,0.407407,0,0,0.161905,0,0,0,0,0,0,0.110345,0.123967,0.364583,0.488372,0.109772,0.128352,true,0.000046,0.999954,negative
0.276234,0.471858,0.401817,0.370387,0.015972,0.009355,0.368421,0.636364,0.408248,0.415227,0.241289,0.393993,0.371769,0.091472,0.166667,0.394737,0.172414,0.454545,0.142857,0.631579,0.117647,0.363636,0.263158,0.363636,0.130252,0.131429,false,true,0.129496,0.142857,0.574163,0.120482,0.425837,0.1,0.157895,0.185185,0.454545,0.151261,0.947368,0.15873,0.909091,0.1,0.135338,0.1,0.181818,0.136364,0.315789,0.066667,0.090909,0.071429,0.111842,0.076923,0.113636,0.135593,0.736842,0.129032,0.659091,0,0,0,0,0.175824,0.862644,0.190476,0.727273,0.0625,0.052632,0.071429,0.090909,0.162162,0.315789,0.171429,0.545455,0.176471,1,0.142857,1,0,0,0,0,0.263158,0,0.294737,0.315789,0.210526,0.239766,0.263158,0,0.511278,0,0,0,0,0,0,0.118391,0.119008,0.200658,0.244186,0.115127,0.118774,true,0.000046,0.999954,negative
