@relation stylometry-bioinfer-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute fog_index numeric
@attribute fog_index_WSW numeric
@attribute monosyllabic_fog_index numeric
@attribute monosyllabic_fog_index_WSW numeric
@attribute inverse_fog_index numeric
@attribute inverse_fog_index_WSW numeric
@attribute forcast numeric
@attribute forcast_WSW numeric
@attribute smog_index numeric
@attribute smog_index_WSW numeric
@attribute fkri numeric
@attribute fkri_WSW numeric
@attribute flesch numeric
@attribute flesch_WSW numeric
@attribute complex_word numeric
@attribute complex_word_percent numeric
@attribute complex_word_WSW numeric
@attribute complex_word_WSW_percent numeric
@attribute monosyllabic_word numeric
@attribute monosyllabic_word_percent numeric
@attribute monosyllabic_word_WSW numeric
@attribute monosyllabic_word_WSW_percent numeric
@attribute word_length numeric
@attribute word_length_WSW numeric
@attribute syllable_count numeric
@attribute syllables_count_WSW numeric
@attribute long_sentence {true,false}
@attribute short_sentence {true,false}
@attribute word_count numeric
@attribute function_word numeric
@attribute function_word_percent numeric
@attribute content_word numeric
@attribute content_word_percent numeric
@attribute named_entity numeric
@attribute named_entity_percent numeric
@attribute named_entity_WSW numeric
@attribute named_entity_WSW_percent numeric
@attribute alpha_numeric numeric
@attribute alpha_numeric_percent numeric
@attribute alpha_numeric_WSW numeric
@attribute alpha_numeric_WSW_percent numeric
@attribute verb numeric
@attribute verb_percent numeric
@attribute verb_WSW numeric
@attribute verb_WSW_percent numeric
@attribute acronym numeric
@attribute acronym_percent numeric
@attribute acronym_WSW numeric
@attribute acronym_WSW_percent numeric
@attribute semantic_word numeric
@attribute semantic_word_percent numeric
@attribute semantic_word_WSW numeric
@attribute semantic_word_WSW_percent numeric
@attribute alphabet_words numeric
@attribute alphabet_words_percent numeric
@attribute alphabet_words_WSW numeric
@attribute alphabet_words_WSW_percent numeric
@attribute numeric_words numeric
@attribute numeric_words_percent numeric
@attribute numeric_words_WSW numeric
@attribute numeric_words_WSW_percent numeric
@attribute lowercase_words numeric
@attribute lowercase_words_percent numeric
@attribute lowercase_words_WSW numeric
@attribute lowercase_words_WSW_percent numeric
@attribute uppercase_words numeric
@attribute uppercase_words_percent numeric
@attribute uppercase_words_WSW numeric
@attribute uppercase_words_WSW_percent numeric
@attribute long_word numeric
@attribute long_word_percent numeric
@attribute long_word_WSW numeric
@attribute long_word_WSW_percent numeric
@attribute unique_word numeric
@attribute unique_word_percent numeric
@attribute unique_word_WSW numeric
@attribute unique_word_WSW_percent numeric
@attribute repeated_word numeric
@attribute repeated_word_percent numeric
@attribute repeated_word_WSW numeric
@attribute repeated_word_WSW_percent numeric
@attribute pos_conjunction numeric
@attribute pos_number numeric
@attribute pos_determiner numeric
@attribute pos_preposition numeric
@attribute pos_adjective numeric
@attribute pos_noun numeric
@attribute pos_pronoun numeric
@attribute pos_adverb numeric
@attribute pos_verb numeric
@attribute pos_interjection numeric
@attribute pos_foreign numeric
@attribute pos_list numeric
@attribute pos_possessive numeric
@attribute pos_particle numeric
@attribute pos_symbol numeric
@attribute character_count numeric
@attribute character_count_WSW numeric
@attribute character_per_word numeric
@attribute character_per_word_WSW numeric
@attribute character_without_space numeric
@attribute character_without_space_WSW numeric
@attribute special_char {true,false}
@attribute class {positive,negative}

@data
0.314677,0.490155,0.272501,0.44374,0.203549,0.071378,0.573427,0.4375,0.436436,0.447214,0.178445,0.232957,0.489041,0.408721,0.190476,0.538462,0.2,0.48,0.096154,0.426573,0.166667,0.5625,0.324578,0.214557,0.068493,0.113043,false,true,0.082353,0.051282,0.236111,0.122449,0.763889,0.096774,0.274038,0.310345,0.9,0.081081,0.435897,0.102041,0.52,0.333333,0.673077,0.333333,0.6,0.125,0.545299,0.227273,0.727273,0.333333,0.538462,0.333333,0.6,0.097561,1,0.159091,1,0,0,0,0,0.072464,0.539062,0.125,0.4375,0.227273,0.804196,0.238095,0.727273,0.148148,0.505495,0.148148,0.531915,0.096154,0.619231,0.102564,0.58,0.076923,0.380769,0.142857,0.42,0.358974,0,0.244755,0.384615,0,0.934641,0,0,0.576923,0,0,0,0,0,0,0.072106,0.118421,0.318647,0.306667,0.077098,0.117825,true,positive
0.229377,0.43886,0.372175,0.421553,0.282769,0.086329,0.402597,0.4375,0.377964,0.387298,0.19486,0.327589,0.462238,0.095116,0.142857,0.375,0.15,0.45,0.134615,0.597403,0.125,0.5625,0.333624,0.327532,0.082192,0.104348,false,true,0.094118,0.128205,0.593254,0.081633,0.406746,0,0,0,0,0.121622,0.738095,0.102041,0.7,0.066667,0.125,0.066667,0.15,0.09375,0.366667,0.090909,0.363636,0,0,0,0,0.109756,1,0.113636,1,0,0,0,0,0.115942,0.780048,0.15625,0.765625,0.136364,0.448052,0.095238,0.363636,0.074074,0.25,0.074074,0.385638,0.153846,0.882143,0.102564,0.825,0.025641,0.117857,0.047619,0.175,0.5,0,0.227273,0.357143,0.22449,0.441643,0,0,0.535714,0,0,0,0,0,0,0.072106,0.084211,0.231013,0.333333,0.070295,0.084592,false,positive
0.51445,0.718135,0.40005,0.332805,0.099713,0.028187,0.661157,0.7,0.690066,0.707107,0.51415,0.609793,0,0,0.47619,0.530303,0.5,0.6,0.269231,0.338843,0.208333,0.3,0.517738,0.472785,0.390411,0.417391,true,false,0.317647,0.307692,0.530724,0.326531,0.469276,0.129032,0.143939,0,0,0.351351,0.777778,0.306122,0.76,0.333333,0.265152,0.333333,0.3,0.3125,0.377778,0.136364,0.218182,0.083333,0.05303,0.083333,0.075,0.329268,0.925408,0.363636,0.903846,0,0,0,0,0.362319,0.868858,0.4375,0.765625,0.136364,0.190083,0.142857,0.218182,0.407407,0.474026,0.37037,0.590426,0.384615,0.6,0.384615,0.86,0.205128,0.4,0.095238,0.14,0.494949,0,0.578512,0.378788,0.285714,0.433551,0,0,0.227273,0,0,0,0,0,0,0.368121,0.418421,0.517549,0.58,0.380952,0.432024,true,positive
0.230838,0.433161,0.37342,0.499208,0.281099,0.088175,0.285714,0.30625,0.308607,0.316228,0.141861,0.277872,0.474053,0.177838,0.095238,0.5,0.1,0.48,0.057692,0.714286,0.083333,0.69375,0.372822,0.311392,0,0.043478,false,true,0.011765,0.025641,0.335317,0.020408,0.664683,0.064516,0.339286,0,0,0.027027,0.47619,0.040816,0.52,0.066667,0.25,0.066667,0.24,0,0.244444,0.090909,0.581818,0.083333,0.25,0.083333,0.3,0.02439,1,0.045455,1,0,0,0,0,0.014493,0.476872,0.03125,0.30625,0.090909,0.597403,0.095238,0.581818,0.037037,0.357143,0.037037,0.414894,0.019231,0.764286,0.025641,0.72,0.025641,0.235714,0.047619,0.28,0.666667,0,0,0.714286,0.44898,0.708683,0,0,0,0,0,0,0,0,0,0.00759,0.028947,0.401899,0.373333,0.00907,0.030211,false,positive
0.401862,0.626943,0.299468,0.281035,0.148694,0.042119,0.588235,0.65625,0.534522,0.547723,0.279239,0.399435,0.282063,0,0.285714,0.617647,0.3,0.6,0.134615,0.411765,0.125,0.34375,0.418938,0.35443,0.136986,0.191304,false,true,0.129412,0.102564,0.35049,0.163265,0.64951,0.064516,0.139706,0.137931,0.333333,0.162162,0.784314,0.183673,0.8,0.133333,0.205882,0.133333,0.2,0.15625,0.460131,0.090909,0.242424,0.166667,0.205882,0.166667,0.25,0.146341,1,0.204545,1,0,0,0,0,0.15942,0.83355,0.28125,0.875,0.090909,0.245989,0.095238,0.242424,0.185185,0.457983,0.185185,0.531915,0.192308,0.805882,0.205128,0.883333,0.051282,0.194118,0.047619,0.116667,0.137255,0,0.187166,0.441176,0.554622,0.410227,0,0,0.441176,0,0,0,0,0,0,0.13093,0.173684,0.393522,0.377778,0.133787,0.175227,true,positive
0.409081,0.5945,0.360973,0.178349,0.144942,0.047985,0.603636,0.790865,0.57735,0.547723,0.346589,0.453187,0.249309,0,0.333333,0.49,0.3,0.553846,0.211538,0.396364,0.083333,0.209135,0.385366,0.395813,0.232877,0.226087,false,false,0.223529,0.282051,0.686111,0.183673,0.313889,0.064516,0.095,0.068966,0.153846,0.256757,0.78,0.183673,0.723077,0.133333,0.14,0.133333,0.184615,0.125,0.166222,0.045455,0.111888,0.333333,0.28,0.333333,0.461538,0.219512,0.803077,0.181818,0.704142,0,0,0,0,0.26087,0.856853,0.28125,0.790865,0.045455,0.083636,0.047619,0.111888,0.296296,0.468571,0.222222,0.576923,0.365385,0.934,0.25641,1,0.025641,0.066,0,0,0.466667,0.124444,0.381818,0.4,0.377143,0.238693,0,0.373333,0.4,0,0,0,0,0,0,0.239089,0.210526,0.431519,0.441026,0.244898,0.214502,true,positive
0.276129,0.315371,0.648506,0.71738,0.235258,0.138242,0.145455,0.21875,0.377964,0.387298,0.25333,0.261833,0.613206,0.487407,0.142857,0.175,0.15,0.2,0.423077,0.854545,0.458333,0.78125,0.140244,0.157173,0.205479,0.217391,false,false,0.282353,0.282051,0.541667,0.285714,0.458333,0.096774,0.11875,0,0,0.256757,0.511111,0.183673,0.466667,0.133333,0.116667,0.133333,0.133333,0.3125,0.44,0.181818,0.323232,0.333333,0.233333,0.333333,0.333333,0.207317,0.34359,0.159091,0.145299,0.307692,0.474074,0.307692,0.592593,0.202899,0.470134,0.125,0.145833,0.181818,0.278788,0.190476,0.323232,0.111111,0.128571,0.111111,0.206856,0.288462,0.45,0.307692,0.766667,0.25641,0.55,0.142857,0.233333,0.777778,0.82963,0.106061,0.75,0.104762,0.388235,0,0,0.166667,0,0,0,0,0,0,0.237192,0.226316,0.201582,0.177778,0.231293,0.217523,true,negative
0.415899,0.656074,0.230276,0.247755,0.14149,0.037293,0.636364,0.65625,0.48795,0.5,0.299201,0.440458,0.126312,0,0.238095,0.729167,0.25,0.666667,0.076923,0.363636,0.083333,0.34375,0.542683,0.42616,0.089041,0.147826,false,true,0.070588,0.051282,0.270833,0.102041,0.729167,0.032258,0.098958,0,0,0.094595,0.694444,0.122449,0.733333,0,0,0,0,0.0625,0.325926,0.090909,0.323232,0.083333,0.145833,0.083333,0.166667,0.085366,1,0.136364,1,0,0,0,0,0.086957,0.729519,0.15625,0.65625,0.090909,0.348485,0.095238,0.323232,0.185185,0.678571,0.185185,0.72695,0.115385,0.8625,0.128205,0.844444,0.025641,0.1375,0.047619,0.155556,0.388889,0,0,0.625,0.261905,0.41939,0,0.388889,0.416667,0,0,0,0,0,0,0.087287,0.136842,0.553797,0.518519,0.092971,0.141994,false,positive
0.277989,0.376166,0.515433,0.44374,0.233592,0.109171,0.264463,0.4375,0.436436,0.387298,0.23299,0.332957,0.512463,0.120132,0.190476,0.318182,0.15,0.36,0.269231,0.735537,0.166667,0.5625,0.251663,0.311392,0.157534,0.13913,false,false,0.188235,0.282051,0.804293,0.122449,0.195707,0.129032,0.215909,0,0,0.202703,0.666667,0.102041,0.52,0.133333,0.159091,0.066667,0.12,0.3125,0.688889,0.181818,0.581818,0.083333,0.079545,0.083333,0.15,0.207317,1,0.159091,1,0,0,0,0,0.202899,0.761674,0.15625,0.56875,0.181818,0.380165,0.190476,0.581818,0.185185,0.337662,0.148148,0.531915,0.192308,0.475,0.076923,0.44,0.179487,0.525,0.190476,0.56,0.636364,0,0.433884,0.454545,0.285714,0.405229,0,0.212121,0.113636,0,0,0,0,0,0,0.16888,0.134211,0.278913,0.386667,0.1678,0.135952,true,positive
0.276129,0.419131,0.517809,0.605023,0.235258,0.092898,0.227273,0.286058,0.436436,0.447214,0.165893,0.222418,0.663375,0.499893,0.190476,0.35,0.2,0.369231,0.25,0.772727,0.291667,0.713942,0.176829,0.172347,0.116438,0.147826,false,false,0.164706,0.153846,0.451389,0.183673,0.548611,0.129032,0.2375,0,0,0.135135,0.358333,0.102041,0.353846,0.133333,0.175,0.133333,0.184615,0.28125,0.696667,0.318182,0.783217,0.166667,0.175,0.166667,0.230769,0.170732,0.876923,0.204545,0.852071,0.076923,0.177778,0.076923,0.205128,0.115942,0.446554,0.09375,0.185096,0.318182,0.731818,0.333333,0.783217,0.111111,0.228571,0.111111,0.306874,0.153846,0.4225,0.102564,0.353846,0.179487,0.5775,0.285714,0.646154,0.466667,0.155556,0.159091,0.25,0.157143,0.575163,0,0.233333,0.25,0,0,0,0,0,0,0.13852,0.155263,0.238133,0.225641,0.136054,0.151057,true,positive
