@relation stylometry-hprd50-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute fog_index numeric
@attribute fog_index_WSW numeric
@attribute monosyllabic_fog_index numeric
@attribute monosyllabic_fog_index_WSW numeric
@attribute inverse_fog_index numeric
@attribute inverse_fog_index_WSW numeric
@attribute forcast numeric
@attribute forcast_WSW numeric
@attribute smog_index numeric
@attribute smog_index_WSW numeric
@attribute fkri numeric
@attribute fkri_WSW numeric
@attribute flesch numeric
@attribute flesch_WSW numeric
@attribute complex_word numeric
@attribute complex_word_percent numeric
@attribute complex_word_WSW numeric
@attribute complex_word_WSW_percent numeric
@attribute monosyllabic_word numeric
@attribute monosyllabic_word_percent numeric
@attribute monosyllabic_word_WSW numeric
@attribute monosyllabic_word_WSW_percent numeric
@attribute word_length numeric
@attribute word_length_WSW numeric
@attribute syllable_count numeric
@attribute syllables_count_WSW numeric
@attribute long_sentence {true,false}
@attribute short_sentence {true,false}
@attribute word_count numeric
@attribute function_word numeric
@attribute function_word_percent numeric
@attribute content_word numeric
@attribute content_word_percent numeric
@attribute named_entity numeric
@attribute named_entity_percent numeric
@attribute named_entity_WSW numeric
@attribute named_entity_WSW_percent numeric
@attribute alpha_numeric numeric
@attribute alpha_numeric_percent numeric
@attribute alpha_numeric_WSW numeric
@attribute alpha_numeric_WSW_percent numeric
@attribute verb numeric
@attribute verb_percent numeric
@attribute verb_WSW numeric
@attribute verb_WSW_percent numeric
@attribute acronym numeric
@attribute acronym_percent numeric
@attribute acronym_WSW numeric
@attribute acronym_WSW_percent numeric
@attribute semantic_word numeric
@attribute semantic_word_percent numeric
@attribute semantic_word_WSW numeric
@attribute semantic_word_WSW_percent numeric
@attribute alphabet_words numeric
@attribute alphabet_words_percent numeric
@attribute alphabet_words_WSW numeric
@attribute alphabet_words_WSW_percent numeric
@attribute numeric_words numeric
@attribute numeric_words_percent numeric
@attribute numeric_words_WSW numeric
@attribute numeric_words_WSW_percent numeric
@attribute lowercase_words numeric
@attribute lowercase_words_percent numeric
@attribute lowercase_words_WSW numeric
@attribute lowercase_words_WSW_percent numeric
@attribute uppercase_words numeric
@attribute uppercase_words_percent numeric
@attribute uppercase_words_WSW numeric
@attribute uppercase_words_WSW_percent numeric
@attribute long_word numeric
@attribute long_word_percent numeric
@attribute long_word_WSW numeric
@attribute long_word_WSW_percent numeric
@attribute unique_word numeric
@attribute unique_word_percent numeric
@attribute unique_word_WSW numeric
@attribute unique_word_WSW_percent numeric
@attribute repeated_word numeric
@attribute repeated_word_percent numeric
@attribute repeated_word_WSW numeric
@attribute repeated_word_WSW_percent numeric
@attribute pos_conjunction numeric
@attribute pos_number numeric
@attribute pos_determiner numeric
@attribute pos_preposition numeric
@attribute pos_adjective numeric
@attribute pos_noun numeric
@attribute pos_pronoun numeric
@attribute pos_adverb numeric
@attribute pos_verb numeric
@attribute pos_interjection numeric
@attribute pos_foreign numeric
@attribute pos_list numeric
@attribute pos_possessive numeric
@attribute pos_particle numeric
@attribute pos_symbol numeric
@attribute character_count numeric
@attribute character_count_WSW numeric
@attribute character_per_word numeric
@attribute character_per_word_WSW numeric
@attribute character_without_space numeric
@attribute character_without_space_WSW numeric
@attribute special_char {true,false}
@attribute class {positive,negative}

@data
0.723292,0.805805,0.418512,0.208268,0.090758,0.049751,0.546559,0.844828,0.752625,0.752625,0.70118,0.758332,0,0,0.642857,0.732308,0.642857,0.761765,0.323529,0.453441,0.142857,0.155172,0.614544,0.666667,0.522222,0.606061,false,false,0.377358,0.391304,0.521368,0.366667,0.478632,0.444444,0.34188,0.181818,0.25,0.38,0.789744,0.392857,0.771341,0.357143,0.363248,0.384615,0.375,0.421053,0.520513,0.571429,0.429878,0.538462,0.740385,0.538462,0.65625,0.416667,1,0.44,1,0,0,0,0,0.390244,0.645749,0.380952,0.573276,0.625,0.487179,0.714286,0.530488,0.466667,0.52684,0.533333,0.573276,0.375,0.40404,0.37931,0.825,0.384615,0.59596,0.125,0.175,0.736264,0.192308,0,0.461538,0.230769,0.449275,0.346154,0.182692,0.141026,0,0,0,0,0,0,0.454849,0.495652,0.569479,0.573297,0.46988,0.515,true,negative
0.249354,0.350383,0.451633,0.486739,0.439916,0.287132,0.206478,0.482759,0.254805,0.254805,0.235422,0.322136,0.524284,0.125249,0.142857,0.375385,0.142857,0.391176,0.176471,0.793522,0.142857,0.517241,0.314418,0.322917,0.133333,0.151515,false,true,0.132075,0.173913,0.521368,0.1,0.478632,0.166667,0.25641,0,0,0.14,0.697436,0.142857,0.670732,0.142857,0.290598,0.153846,0.3,0.210526,0.717949,0.285714,0.530488,0,0,0,0,0.125,0.692308,0.08,0.7125,0.125,0.384615,0.125,0.359375,0.121951,0.39919,0.095238,0.301724,0.25,0.487179,0.285714,0.530488,0.133333,0.442723,0.2,0.482759,0.15,0.646465,0.137931,0.825,0.076923,0.353535,0,0.175,0.296703,0,1,0.461538,0,0.449275,0,0,0.282051,0,0,0,0,0,0,0.09699,0.126087,0.253102,0.26495,0.096386,0.13,true,positive
0.466415,0.408543,0.365092,0.234009,0.229874,0.239264,0.631579,0.793103,0.504524,0.430238,0.520274,0.453479,0.250515,0,0.357143,0.375385,0.285714,0.364706,0.294118,0.368421,0.142857,0.206897,0.389449,0.372024,0.422222,0.378788,false,false,0.377358,0.478261,0.692308,0.3,0.307692,0.277778,0.213675,0.136364,0.214286,0.38,0.789744,0.321429,0.728223,0.142857,0.145299,0.153846,0.171429,0.368421,0.421795,0.285714,0.271777,0.307692,0.423077,0.307692,0.428571,0.416667,1,0.36,1,0,0,0,0,0.463415,0.892308,0.47619,0.896552,0.25,0.210256,0.285714,0.271777,0.466667,0.52684,0.466667,0.586207,0.35,0.282828,0.241379,0.471429,0.461538,0.717172,0.375,0.528571,0.516484,0,0.5,0.576923,0.346154,0.311594,0,0.365385,0.282051,0,0,0,0,0,0,0.38796,0.356522,0.358561,0.388942,0.389558,0.365,true,negative
0.238528,0.410515,0.496048,0.353354,0.454427,0.237783,0.157895,0.586207,0.254805,0.254805,0.14932,0.261853,0.711742,0.276165,0.142857,0.337143,0.142857,0.470588,0.205882,0.842105,0.071429,0.413793,0.185792,0.27381,0.122222,0.106061,false,true,0.150943,0.26087,0.777778,0.066667,0.222222,0.111111,0.15873,0.045455,0.142857,0.14,0.552381,0.071429,0.383275,0.071429,0.134921,0.076923,0.171429,0.210526,0.633333,0.142857,0.38676,0.076923,0.196429,0.076923,0.214286,0.145833,0.714286,0.04,0.671429,0,0,0,0,0.170732,0.610526,0.142857,0.586207,0.125,0.27619,0.142857,0.38676,0.133333,0.394656,0.2,0.586207,0.2,0.906205,0.103448,0.785714,0,0.093795,0,0.214286,0.469388,0,0.309524,0.642857,0.428571,0.006729,0.642857,0.339286,0.785714,0,0,0,0,0.785714,0,0.110368,0.117391,0.215438,0.401993,0.104418,0.125,true,positive
0.50409,0.688499,0.33114,0.028081,0.204252,0.089495,0.508772,0.917241,0.504524,0.504524,0.471426,0.63006,0.174888,0,0.357143,0.613333,0.357143,0.724706,0.205882,0.491228,0,0.082759,0.500607,0.620833,0.288889,0.318182,false,true,0.226415,0.304348,0.654321,0.166667,0.345679,0.111111,0.123457,0,0,0.22,0.666667,0.178571,0.590244,0.214286,0.314815,0.230769,0.36,0.210526,0.388889,0.142857,0.24878,0.153846,0.305556,0.153846,0.3,0.229167,0.777778,0.16,0.77,0,0,0,0,0.268293,0.746199,0.285714,0.772414,0.125,0.2,0.142857,0.24878,0.4,0.741807,0.466667,0.917241,0.3,0.956229,0.206897,0.88,0,0.043771,0,0.12,0.174603,0,0.722222,0.5,0.166667,0.219807,1,0,0.611111,0,0,0,0,0.611111,0,0.247492,0.265217,0.487455,0.584718,0.253012,0.28,true,positive
0.337976,0.309967,0.578774,0.351014,0.338219,0.325977,0.291498,0.689655,0.34807,0.34807,0.339367,0.299907,0.59975,0.350741,0.214286,0.196923,0.214286,0.258824,0.411765,0.708502,0.214286,0.310345,0.164355,0.208333,0.322222,0.30303,false,false,0.377358,0.478261,0.692308,0.3,0.307692,0.388889,0.299145,0.5,0.785714,0.38,0.789744,0.321429,0.728223,0.142857,0.145299,0.153846,0.171429,0.526316,0.717949,0.428571,0.38676,0.153846,0.211538,0.076923,0.107143,0.416667,1,0.36,1,0,0,0,0,0.414634,0.727935,0.428571,0.793103,0.5,0.394872,0.428571,0.38676,0.133333,0.106253,0.2,0.172414,0.375,0.40404,0.275862,0.628571,0.384615,0.59596,0.25,0.371429,0.406593,0,0.666667,0.230769,0,0.518116,0.346154,0,0.423077,0,0,0,0,0.423077,0,0.314381,0.291304,0.126551,0.193166,0.301205,0.29,false,negative
0.703948,0.653371,0.651717,0.716069,0.09888,0.103345,0.330144,0.482759,0.752625,0.752625,0.558954,0.433148,0.324527,0.171583,0.642857,0.54303,0.642857,0.509091,0.529412,0.669856,0.642857,0.517241,0.287134,0.229167,0.511111,0.560606,true,false,0.509434,0.434783,0.407407,0.566667,0.592593,0.611111,0.37037,0.181818,0.181818,0.54,0.921212,0.642857,0.926829,0.714286,0.572391,0.769231,0.545455,0.526316,0.466667,0.571429,0.292683,0.230769,0.25,0.230769,0.204545,0.5625,1,0.68,1,0,0,0,0,0.585366,0.832536,0.761905,0.877743,0.5,0.29697,0.571429,0.292683,0.6,0.498801,0.666667,0.482759,0.475,0.271809,0.37931,0.3,0.615385,0.728191,0.875,0.7,0.203463,0,0.525253,0.363636,0.454545,0.328283,0,0.143939,0.333333,0,0,0,0,0,0,0.525084,0.582609,0.332356,0.29402,0.534137,0.585,true,negative
0.774025,0.719551,0.767883,0.413027,0.070782,0.078064,0.3,0.663793,0.806348,0.69614,0.691743,0.543331,0.216866,0,0.714286,0.478,0.571429,0.669118,0.676471,0.7,0.285714,0.336207,0.301913,0.4375,0.655556,0.484848,true,false,0.641509,1,1,0.366667,0,0.333333,0.166667,0.136364,0.1875,0.66,0.886667,0.392857,0.771341,0.428571,0.283333,0.307692,0.3,0.578947,0.3675,0.428571,0.329268,0.461538,0.4125,0.230769,0.28125,0.6875,0.9,0.4,0.85625,0,0,0,0,0.756098,0.900526,0.47619,0.75431,0.375,0.173333,0.428571,0.329268,0.666667,0.425899,0.533333,0.573276,0.675,0.50101,0.413793,0.9625,0.538462,0.49899,0,0.0375,0.642857,0,0.65,0.525,0.375,0.160145,0,0,0.458333,0,0.28125,0,0,0,0,0.648829,0.417391,0.287903,0.367733,0.646586,0.425,true,negative
0.433891,0.347841,0.501745,0.365178,0.253966,0.289428,0.524618,0.749546,0.430238,0.430238,0.582647,0.506756,0.236307,0,0.285714,0.214194,0.285714,0.225387,0.411765,0.475382,0.285714,0.250454,0.359598,0.35307,0.511111,0.545455,true,false,0.471698,0.478261,0.526882,0.466667,0.473118,0.666667,0.430108,0.545455,0.631579,0.48,0.834409,0.5,0.818999,0.357143,0.304659,0.384615,0.315789,0.578947,0.609677,0.285714,0.181001,0.230769,0.266129,0.153846,0.157895,0.520833,1,0.56,1,0,0,0,0,0.560976,0.876401,0.666667,0.901996,0.375,0.243011,0.285714,0.181001,0.266667,0.193084,0.333333,0.215971,0.5,0.521342,0.413793,0.636842,0.384615,0.478658,0.375,0.363158,0.133641,0,0.27957,0.290323,0.193548,0.316036,0.290323,0.612903,0.591398,0,0,0,0,0.354839,0,0.471572,0.491304,0.300728,0.305823,0.46988,0.495,true,negative
0.264767,0.27448,0.054896,0.191888,0.420133,0.364775,0.815789,0.772414,0.254805,0.254805,0.338754,0.32906,0.303565,0.158189,0.142857,0.42,0.142857,0.28,0.058824,0.184211,0.071429,0.227586,0.464481,0.3,0.144444,0.212121,false,true,0.113208,0.043478,0.037037,0.166667,0.962963,0.388889,0.648148,0.090909,0.2,0.12,0.666667,0.214286,0.75122,0.214286,0.472222,0.230769,0.36,0.105263,0.388889,0.285714,0.409756,0.076923,0.229167,0.076923,0.15,0.125,1,0.2,1,0,0,0,0,0.170732,0.864912,0.333333,0.917241,0.125,0.333333,0.142857,0.24878,0.133333,0.498801,0.2,0.337931,0.15,0.868687,0.206897,0.88,0,0.131313,0,0.12,0.095238,0,0.361111,0.25,0.25,0.667271,0,0,0.611111,0,0,0,0,0,0,0.113712,0.191304,0.502688,0.274086,0.116466,0.195,true,positive
