@relation 'stylometry-iepa-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AddClassification-distribution-Wweka.classifiers.lazy.IBk -K 11 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,105,106,104'

@attribute fog_index numeric
@attribute fog_index_WSW numeric
@attribute monosyllabic_fog_index numeric
@attribute monosyllabic_fog_index_WSW numeric
@attribute inverse_fog_index numeric
@attribute inverse_fog_index_WSW numeric
@attribute forcast numeric
@attribute forcast_WSW numeric
@attribute smog_index numeric
@attribute smog_index_WSW numeric
@attribute fkri numeric
@attribute fkri_WSW numeric
@attribute flesch numeric
@attribute flesch_WSW numeric
@attribute complex_word numeric
@attribute complex_word_percent numeric
@attribute complex_word_WSW numeric
@attribute complex_word_WSW_percent numeric
@attribute monosyllabic_word numeric
@attribute monosyllabic_word_percent numeric
@attribute monosyllabic_word_WSW numeric
@attribute monosyllabic_word_WSW_percent numeric
@attribute word_length numeric
@attribute word_length_WSW numeric
@attribute syllable_count numeric
@attribute syllables_count_WSW numeric
@attribute long_sentence {true,false}
@attribute short_sentence {true,false}
@attribute word_count numeric
@attribute function_word numeric
@attribute function_word_percent numeric
@attribute content_word numeric
@attribute content_word_percent numeric
@attribute named_entity numeric
@attribute named_entity_percent numeric
@attribute named_entity_WSW numeric
@attribute named_entity_WSW_percent numeric
@attribute alpha_numeric numeric
@attribute alpha_numeric_percent numeric
@attribute alpha_numeric_WSW numeric
@attribute alpha_numeric_WSW_percent numeric
@attribute verb numeric
@attribute verb_percent numeric
@attribute verb_WSW numeric
@attribute verb_WSW_percent numeric
@attribute acronym numeric
@attribute acronym_percent numeric
@attribute acronym_WSW numeric
@attribute acronym_WSW_percent numeric
@attribute semantic_word numeric
@attribute semantic_word_percent numeric
@attribute semantic_word_WSW numeric
@attribute semantic_word_WSW_percent numeric
@attribute alphabet_words numeric
@attribute alphabet_words_percent numeric
@attribute alphabet_words_WSW numeric
@attribute alphabet_words_WSW_percent numeric
@attribute numeric_words numeric
@attribute numeric_words_percent numeric
@attribute numeric_words_WSW numeric
@attribute numeric_words_WSW_percent numeric
@attribute lowercase_words numeric
@attribute lowercase_words_percent numeric
@attribute lowercase_words_WSW numeric
@attribute lowercase_words_WSW_percent numeric
@attribute uppercase_words numeric
@attribute uppercase_words_percent numeric
@attribute uppercase_words_WSW numeric
@attribute uppercase_words_WSW_percent numeric
@attribute long_word numeric
@attribute long_word_percent numeric
@attribute long_word_WSW numeric
@attribute long_word_WSW_percent numeric
@attribute unique_word numeric
@attribute unique_word_percent numeric
@attribute unique_word_WSW numeric
@attribute unique_word_WSW_percent numeric
@attribute repeated_word numeric
@attribute repeated_word_percent numeric
@attribute repeated_word_WSW numeric
@attribute repeated_word_WSW_percent numeric
@attribute pos_conjunction numeric
@attribute pos_number numeric
@attribute pos_determiner numeric
@attribute pos_preposition numeric
@attribute pos_adjective numeric
@attribute pos_noun numeric
@attribute pos_pronoun numeric
@attribute pos_adverb numeric
@attribute pos_verb numeric
@attribute pos_interjection numeric
@attribute pos_foreign numeric
@attribute pos_list numeric
@attribute pos_possessive numeric
@attribute pos_particle numeric
@attribute pos_symbol numeric
@attribute character_count numeric
@attribute character_count_WSW numeric
@attribute character_per_word numeric
@attribute character_per_word_WSW numeric
@attribute character_without_space numeric
@attribute character_without_space_WSW numeric
@attribute special_char {true,false}
@attribute distribution_positive numeric
@attribute distribution_negative numeric
@attribute class {positive,negative}

@data
0.241391,0.453237,0.24278,0.311339,0.364371,0.195272,0.467236,0.547619,0.198365,0.198365,0.193776,0.427143,0.255331,0,0.095238,0.539877,0.095238,0.527027,0.038462,0.532764,0.071429,0.452381,0.463938,0.521739,0.055215,0.08,false,true,0.036145,0.054054,0.521739,0.055556,0.478261,0.066667,0.166667,0,0,0.025,0,0.039216,0.25,0.214286,0.555556,0.214286,0.583333,0.064516,0.6,0.153846,0.5,0.1875,0.722222,0.2,0.8,0.025641,0.730159,0.04,0.738095,0,0,0,0,0.055556,0.65812,0.076923,0.534483,0.2,0.592593,0.2,0.5,0.107143,0.621212,0.111111,0.705882,0.055556,0.768519,0.066667,0.648148,0.03125,0.231481,0.071429,0.351852,0.288889,0,0,0.333333,0.266667,0.35,0,1,0.277778,0,0,0,0,0,0,0.065517,0.083135,0.510638,0.629032,0.070423,0.085791,true,0.636313,0.363687,positive
0.541772,0.732014,0.373455,0.416422,0.133659,0.068589,0.592225,0.612245,0.667703,0.667703,0.488798,0.710114,0,0,0.52381,0.638828,0.52381,0.6139,0.230769,0.407775,0.214286,0.387755,0.563976,0.596273,0.374233,0.432,true,false,0.301205,0.243243,0.499299,0.333333,0.500701,0.266667,0.193548,0,0,0.3125,0.806452,0.352941,0.857143,0.357143,0.268817,0.357143,0.277778,0.193548,0.264516,0.230769,0.214286,0.25,0.27957,0.266667,0.304762,0.269231,0.686636,0.28,0.70068,0,0,0,0,0.305556,0.793218,0.358974,0.712644,0.2,0.172043,0.2,0.142857,0.428571,0.578446,0.444444,0.642857,0.407407,0.731183,0.4,0.899471,0.125,0.268817,0.071429,0.100529,0.587097,0.164516,0,0.483871,0.309677,0.36129,0,0,0.322581,0,0,0,0,0,0,0.362069,0.4038,0.576527,0.59447,0.372233,0.407507,true,0.727188,0.272812,positive
0.49516,0.419664,0.759065,0.831378,0.156811,0.217626,0.195266,0.185714,0.445953,0.445953,0.495025,0.465583,0.232517,0.126951,0.285714,0.174139,0.285714,0.202703,0.653846,0.804734,0.642857,0.814286,0.187216,0.247826,0.453988,0.424,true,false,0.554217,0.567568,0.70903,0.5,0.29097,0.133333,0.057692,0.020833,0.033333,0.45,0.307692,0.333333,0.4,0.071429,0.032051,0.071429,0.038889,0.580645,0.492308,0.615385,0.4,0.125,0.083333,0.133333,0.106667,0.487179,0.626374,0.38,0.580952,0.25,0.307692,0.25,0.373333,0.444444,0.642012,0.307692,0.427586,0.8,0.410256,0.8,0.4,0.285714,0.158654,0.259259,0.176471,0.592593,0.399038,0.444444,0.437037,0.46875,0.600962,0.571429,0.562963,0.65,0.343269,0,0.634615,0.230769,0.346635,0,0.173077,0.240385,0,0,0,0,0,0,0.47931,0.420428,0.233224,0.232258,0.470825,0.402145,true,0.363687,0.636313,positive
0.438892,0.554697,0.368739,0.383992,0.189103,0.139029,0.531814,0.60084,0.541944,0.495453,0.387429,0.568972,0.011096,0,0.380952,0.539877,0.333333,0.491256,0.211538,0.468186,0.178571,0.39916,0.463938,0.514066,0.288344,0.312,false,false,0.253012,0.243243,0.599034,0.259259,0.400966,0.333333,0.277778,0,0,0.25,0.666667,0.254902,0.735294,0.5,0.432099,0.5,0.480392,0.129032,0.2,0.230769,0.264706,0.5,0.641975,0.533333,0.752941,0.230769,0.730159,0.22,0.722689,0.0625,0.148148,0.0625,0.164706,0.25,0.751187,0.282051,0.691684,0.2,0.197531,0.2,0.176471,0.357143,0.558081,0.333333,0.602076,0.351852,0.768519,0.311111,0.875817,0.09375,0.231481,0.071429,0.124183,0.481481,0,0.253968,0.444444,0.177778,0.233333,0,0.166667,0.462963,0,0,0,0,0,0,0.27931,0.292162,0.453901,0.503795,0.285714,0.292225,true,0.908938,0.091062,positive
0.01045,0.06295,0.239144,0.369501,0.945275,0.74964,0.43956,0.457143,0,0,0.043087,0.138615,0.731254,0.413146,0,0.189308,0,0.162162,0.019231,0.56044,0.071429,0.542857,0.242424,0.26087,0.01227,0.032,false,true,0.012048,0.027027,0.42236,0.037037,0.57764,0,0,0,0,0.0125,0.142857,0.039216,0.4,0.071429,0.238095,0.071429,0.233333,0.064516,0.828571,0.153846,0.6,0,0,0,0,0.012821,1,0.04,1,0,0,0,0,0.041667,0.717949,0.076923,0.641379,0.2,0.761905,0.2,0.6,0.035714,0.350649,0.037037,0.352941,0.018519,0.702381,0.044444,0.577778,0.03125,0.297619,0.071429,0.422222,0.742857,0,0,0.428571,0.685714,0.325,0,0,0,0,0,0,0,0,0,0.024138,0.035629,0.255319,0.319355,0.026157,0.034853,false,0.636313,0.363687,negative
0.3648,0.440647,0.458718,0.52346,0.241052,0.203401,0.42349,0.457143,0.445953,0.445953,0.362793,0.487365,0.191927,0,0.285714,0.341975,0.285714,0.344595,0.288462,0.57651,0.285714,0.542857,0.347893,0.397826,0.300613,0.328,true,false,0.301205,0.27027,0.56662,0.314815,0.43338,0.466667,0.33871,0,0,0.3125,0.806452,0.333333,0.85,0.214286,0.16129,0.214286,0.175,0.322581,0.496774,0.307692,0.3,0.25,0.27957,0.266667,0.32,0.269231,0.686636,0.26,0.685714,0,0,0,0,0.291667,0.752688,0.333333,0.694828,0.3,0.258065,0.3,0.225,0.285714,0.358504,0.296296,0.419118,0.37037,0.596774,0.311111,0.577778,0.1875,0.403226,0.285714,0.422222,0.503226,0.164516,0.221198,0.483871,0.309677,0.259677,0,0,0.241935,0,0.645161,0,0,0,0,0.294828,0.313539,0.335621,0.384677,0.295775,0.308311,true,0.545438,0.454562,negative
0.371728,0.50045,0.525431,0.392595,0.235646,0.167214,0.32634,0.575893,0.445953,0.445953,0.317171,0.44316,0.398053,0,0.285714,0.316788,0.285714,0.451014,0.346154,0.67366,0.178571,0.424107,0.232758,0.407609,0.282209,0.256,true,false,0.325301,0.432432,0.901186,0.240741,0.098814,0.266667,0.181818,0.041667,0.125,0.3375,0.818182,0.254902,0.8125,0.142857,0.10101,0.142857,0.145833,0.290323,0.4,0.153846,0.1875,0.0625,0.065657,0.066667,0.1,0.320513,0.852814,0.22,0.803571,0,0,0,0,0.361111,0.886558,0.307692,0.801724,0.2,0.161616,0.2,0.1875,0.285714,0.328512,0.296296,0.568015,0.388889,0.558081,0.266667,0.736111,0.21875,0.441919,0.142857,0.263889,0.787879,0,0.103896,0.545455,0.218182,0.270455,0,0.136364,0.378788,0,0.363636,0,0,0,0,0.289655,0.256532,0.243714,0.444556,0.285714,0.254692,true,0.545438,0.454562,positive
0.360257,0.50045,0.28928,0.328446,0.244667,0.167214,0.636752,0.660714,0.445953,0.445953,0.454616,0.72665,0,0,0.285714,0.46319,0.285714,0.451014,0.153846,0.363248,0.142857,0.339286,0.634503,0.67663,0.294479,0.344,false,false,0.216867,0.189189,0.521739,0.240741,0.478261,0.066667,0.0625,0.166667,0.5,0.2,0.5,0.215686,0.625,0.5,0.486111,0.5,0.510417,0.129032,0.25,0.153846,0.1875,0.125,0.180556,0.133333,0.2,0.153846,0.392857,0.14,0.410714,0,0,0,0,0.194444,0.65812,0.230769,0.601293,0.1,0.111111,0.1,0.09375,0.321429,0.573864,0.296296,0.568015,0.277778,0.652778,0.266667,0.736111,0.125,0.347222,0.142857,0.263889,0.541667,0,0.428571,0.625,0.5,0.30625,0,0,0.416667,0,0,0,0,0,0,0.306897,0.353919,0.75,0.816532,0.321932,0.364611,true,0.545438,0.454562,positive
0.451693,0.657824,0.28928,0.264296,0.181283,0.09472,0.636752,0.745536,0.541944,0.541944,0.373237,0.597791,0,0,0.380952,0.616564,0.380952,0.603041,0.153846,0.363248,0.107143,0.254464,0.494949,0.554348,0.257669,0.304,false,false,0.216867,0.189189,0.521739,0.240741,0.478261,0.266667,0.25,0.208333,0.625,0.225,0.75,0.254902,0.8125,0.214286,0.208333,0.214286,0.21875,0.096774,0.175,0.076923,0.09375,0.25,0.361111,0.266667,0.4,0.217949,0.89881,0.24,0.901786,0,0,0,0,0.277778,0.972222,0.358974,0.935345,0.1,0.111111,0.1,0.09375,0.357143,0.644886,0.37037,0.733456,0.314815,0.826389,0.311111,1,0.0625,0.173611,0,0,0.65,0,0.142857,0.625,0.4,0.30625,0,0,0.3125,0,0,0,0,0,0,0.25,0.296912,0.486702,0.59879,0.255533,0.300268,true,0.727188,0.272812,positive
0.710973,0.881295,0.481517,0.420821,0.069034,0.026379,0.639911,0.728571,0.878665,0.878665,0.619359,0.809208,0,0,0.809524,0.646572,0.809524,0.648649,0.346154,0.360089,0.214286,0.271429,0.51113,0.573913,0.558282,0.624,true,false,0.481928,0.405405,0.551985,0.5,0.448015,0.6,0.293478,0,0,0.4875,0.804348,0.509804,0.85,0.357143,0.181159,0.357143,0.194444,0.225806,0.152174,0.153846,0.1,0.5,0.376812,0.466667,0.373333,0.474359,0.841615,0.48,0.842857,0,0,0,0,0.513889,0.88573,0.615385,0.855172,0.1,0.057971,0.1,0.05,0.714286,0.641798,0.740741,0.75,0.574074,0.547101,0.577778,0.859259,0.3125,0.452899,0.142857,0.140741,0.678261,0.11087,0.223602,0.652174,0.365217,0.334783,0,0,0.108696,0,0,0,0,0,0,0.546552,0.608076,0.542553,0.614516,0.557344,0.613941,true,0.363687,0.636313,positive
