@relation stylometry-lll-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute fog_index numeric
@attribute fog_index_WSW numeric
@attribute monosyllabic_fog_index numeric
@attribute monosyllabic_fog_index_WSW numeric
@attribute inverse_fog_index numeric
@attribute inverse_fog_index_WSW numeric
@attribute forcast numeric
@attribute forcast_WSW numeric
@attribute smog_index numeric
@attribute smog_index_WSW numeric
@attribute fkri numeric
@attribute fkri_WSW numeric
@attribute flesch numeric
@attribute flesch_WSW numeric
@attribute complex_word numeric
@attribute complex_word_percent numeric
@attribute complex_word_WSW numeric
@attribute complex_word_WSW_percent numeric
@attribute monosyllabic_word numeric
@attribute monosyllabic_word_percent numeric
@attribute monosyllabic_word_WSW numeric
@attribute monosyllabic_word_WSW_percent numeric
@attribute word_length numeric
@attribute word_length_WSW numeric
@attribute syllable_count numeric
@attribute syllables_count_WSW numeric
@attribute long_sentence {true,false}
@attribute short_sentence {true,false}
@attribute word_count numeric
@attribute function_word numeric
@attribute function_word_percent numeric
@attribute content_word numeric
@attribute content_word_percent numeric
@attribute named_entity numeric
@attribute named_entity_percent numeric
@attribute named_entity_WSW numeric
@attribute named_entity_WSW_percent numeric
@attribute alpha_numeric numeric
@attribute alpha_numeric_percent numeric
@attribute alpha_numeric_WSW numeric
@attribute alpha_numeric_WSW_percent numeric
@attribute verb numeric
@attribute verb_percent numeric
@attribute verb_WSW numeric
@attribute verb_WSW_percent numeric
@attribute acronym numeric
@attribute acronym_percent numeric
@attribute acronym_WSW numeric
@attribute acronym_WSW_percent numeric
@attribute semantic_word numeric
@attribute semantic_word_percent numeric
@attribute semantic_word_WSW numeric
@attribute semantic_word_WSW_percent numeric
@attribute alphabet_words numeric
@attribute alphabet_words_percent numeric
@attribute alphabet_words_WSW numeric
@attribute alphabet_words_WSW_percent numeric
@attribute numeric_words numeric
@attribute numeric_words_percent numeric
@attribute numeric_words_WSW numeric
@attribute numeric_words_WSW_percent numeric
@attribute lowercase_words numeric
@attribute lowercase_words_percent numeric
@attribute lowercase_words_WSW numeric
@attribute lowercase_words_WSW_percent numeric
@attribute uppercase_words numeric
@attribute uppercase_words_percent numeric
@attribute uppercase_words_WSW numeric
@attribute uppercase_words_WSW_percent numeric
@attribute long_word numeric
@attribute long_word_percent numeric
@attribute long_word_WSW numeric
@attribute long_word_WSW_percent numeric
@attribute unique_word numeric
@attribute unique_word_percent numeric
@attribute unique_word_WSW numeric
@attribute unique_word_WSW_percent numeric
@attribute repeated_word numeric
@attribute repeated_word_percent numeric
@attribute repeated_word_WSW numeric
@attribute repeated_word_WSW_percent numeric
@attribute pos_conjunction numeric
@attribute pos_number numeric
@attribute pos_determiner numeric
@attribute pos_preposition numeric
@attribute pos_adjective numeric
@attribute pos_noun numeric
@attribute pos_pronoun numeric
@attribute pos_adverb numeric
@attribute pos_verb numeric
@attribute pos_interjection numeric
@attribute pos_foreign numeric
@attribute pos_list numeric
@attribute pos_possessive numeric
@attribute pos_particle numeric
@attribute pos_symbol numeric
@attribute character_count numeric
@attribute character_count_WSW numeric
@attribute character_per_word numeric
@attribute character_per_word_WSW numeric
@attribute character_without_space numeric
@attribute character_without_space_WSW numeric
@attribute special_char {true,false}
@attribute class {positive,negative}

@data
0.583136,0.520732,0.909706,0.825608,0.130695,0.173496,0.272231,0.431373,0.544353,0.544353,0.576477,0.503253,0.283388,0.18608,0.388889,0.229333,0.388889,0.297907,0.882353,0.727769,0.705882,0.568627,0.243019,0.266362,0.508197,0.436893,true,false,0.650794,1,0.604783,0.5,0.395217,0.45,0.334286,0,0,0.703704,0.763871,0.542857,0.783198,0.294118,0.233333,0.235294,0.240741,0.681818,0.416167,0.454545,0.306122,0.6,0.32,0.555556,0.308642,0.711864,1,0.564103,1,0,0,0,0,0.645833,0.452562,0.4,0.337302,0.555556,0.291429,0.625,0.306122,0.428571,0.26087,0.428571,0.340247,0.83871,0.36,0.75,0.546296,0.444444,0.64,0.25,0.453704,0.975,0.16,0.366667,0.69,0.133333,0.665584,0,0,0.060541,0,0,0,0,0,0,0.537559,0.464286,0.24813,0.274822,0.517906,0.458904,true,positive
0.418602,0.42518,0.550731,0.4485,0.226068,0.235676,0.536743,0.695588,0.431537,0.431537,0.464339,0.482808,0.296581,0.06468,0.277778,0.234234,0.277778,0.304348,0.470588,0.463257,0.294118,0.304412,0.349822,0.373973,0.385246,0.339806,true,false,0.444444,0.714286,0.603408,0.340909,0.396592,0.45,0.451737,0,0,0.5,0.806452,0.4,0.829268,0.411765,0.441441,0.411765,0.56875,0.545455,0.525225,0.272727,0.265306,0.5,0.36036,0.444444,0.333333,0.474576,0.756757,0.358974,0.783333,0.5,0.391892,0.5,0.325,0.5,0.628099,0.433333,0.758929,0.555556,0.431467,0.375,0.265306,0.428571,0.390717,0.428571,0.52,0.741935,0.675676,0.541667,0.591667,0.166667,0.324324,0.166667,0.408333,0.614865,0.216216,0.495495,0.466216,0.27027,0.522157,0.378378,0.189189,0.260774,0,0,0,0,0,0,0.403756,0.377976,0.383652,0.509959,0.399449,0.383562,true,positive
0.364336,0.598135,0.601078,0.628446,0.268436,0.132875,0.218492,0.404412,0.431537,0.431537,0.282353,0.406966,0.487516,0.059946,0.277778,0.433333,0.277778,0.652174,0.382353,0.781508,0.294118,0.595588,0.322851,0.431507,0.196721,0.184466,false,false,0.238095,0.47619,0.706522,0.159091,0.293478,0.1,0.154762,0,0,0.296296,0.895161,0.228571,0.898374,0.058824,0.097222,0.058824,0.135417,0.409091,0.752431,0.181818,0.357143,0.1,0.111111,0.111111,0.138889,0.237288,0.25,0.128205,0.277778,0.5,0.604167,0.5,0.541667,0.270833,0.535124,0.133333,0.303571,0.111111,0.169643,0.125,0.204082,0.238095,0.353261,0.238095,0.52,0.354839,0.583333,0.333333,0.829861,0.138889,0.416667,0.041667,0.170139,0.947917,0.666667,0.305556,0.71875,0.416667,0.22335,0,0,0.157658,0,0,0,0,0,0,0.197183,0.184524,0.308943,0.506139,0.190083,0.188356,true,positive
0.22627,0.423121,0.453123,0.660579,0.41832,0.237198,0.182569,0.30042,0.217944,0.217944,0.138133,0.281308,0.582348,0.256831,0.111111,0.484848,0.111111,0.52795,0.117647,0.817431,0.176471,0.69958,0.36821,0.369863,0.02459,0.067961,false,true,0.031746,0.095238,0.359684,0.045455,0.640316,0.15,0.506494,0,0,0.055556,0.542522,0.085714,0.651568,0.058824,0.212121,0.058824,0.232143,0.181818,1,0.272727,0.947522,0.1,0.242424,0.111111,0.238095,0.033898,0.181818,0.025641,0.380952,0,0,0,0,0.041667,0.222389,0.033333,0.173469,0.222222,0.798701,0.25,0.685131,0.095238,0.395257,0.095238,0.420952,0.064516,0.818182,0.125,0.708333,0.027778,0.181818,0.041667,0.291667,0.886364,0.727273,0,0.784091,0,0.588832,0,0,0.567568,0,0,0,0,0,0,0.016432,0.053571,0.334072,0.388813,0.013774,0.054795,false,positive
0.251361,0.474825,0.61366,0.666768,0.385137,0.201445,0.086777,0.323529,0.297717,0.297717,0.139729,0.2459,0.724839,0.396853,0.166667,0.37037,0.166667,0.555556,0.294118,0.913223,0.235294,0.676471,0.198113,0.287671,0.090164,0.097087,false,true,0.142857,0.333333,0.706522,0.090909,0.293478,0.15,0.309524,0.176471,0.333333,0.166667,0.596774,0.114286,0.552846,0.117647,0.259259,0.117647,0.361111,0.227273,0.555093,0.181818,0.510204,0.2,0.296296,0.222222,0.37037,0.152542,0.5,0.076923,0.518519,0,0,0,0,0.166667,0.458678,0.1,0.404762,0.222222,0.446429,0.25,0.510204,0.142857,0.301932,0.142857,0.442963,0.225806,0.666667,0.166667,0.546296,0.083333,0.333333,0.083333,0.453704,0.902778,0.444444,0.407407,0.479167,0.185185,0.22335,0,0,0.504505,0,0,0,0,0,0,0.112676,0.10119,0.308943,0.410641,0.107438,0.10274,true,positive
0.467301,0.627808,0.388481,0.218276,0.193382,0.119108,0.672908,0.875433,0.544353,0.544353,0.576998,0.829179,0,0,0.388889,0.433333,0.388889,0.601023,0.323529,0.327092,0.117647,0.124567,0.689269,0.863014,0.434426,0.417476,true,false,0.365079,0.619048,0.627038,0.272727,0.372962,0.25,0.290179,0,0,0.37037,0.522177,0.257143,0.512195,0.294118,0.364583,0.294118,0.477941,0.454545,0.515625,0.181818,0.222089,0.7,0.583333,0.666667,0.588235,0.355932,0.15625,0.230769,0.235294,0,0,0,0,0.416667,0.621126,0.266667,0.464286,0.222222,0.204241,0.25,0.222089,0.380952,0.411005,0.380952,0.560784,0.483871,0.4375,0.458333,0.639706,0.25,0.5625,0.125,0.360294,0.710938,0,0.458333,0.539063,0.520833,0.160533,0,0.21875,0.331081,0,0,0,0,0,0,0.384977,0.401786,0.585366,0.94543,0.38843,0.421233,true,positive
0.331024,0.634968,0.347829,0.166919,0.298257,0.115918,0.446281,0.808824,0.367998,0.367998,0.299217,0.604694,0.298052,0,0.222222,0.533333,0.222222,0.748792,0.176471,0.553719,0.058824,0.191176,0.528302,0.73516,0.139344,0.165049,false,true,0.126984,0.285714,0.631714,0.090909,0.368286,0.05,0.109244,0,0,0.148148,0.56167,0.114286,0.552846,0.235294,0.54902,0.235294,0.722222,0.227273,0.620098,0.090909,0.306122,0.2,0.313725,0.222222,0.37037,0.135593,0.470588,0.076923,0.518519,0,0,0,0,0.166667,0.575596,0.1,0.404762,0.111111,0.283613,0.125,0.306122,0.238095,0.543478,0.238095,0.751111,0.193548,0.647059,0.208333,0.773148,0.083333,0.352941,0.041667,0.226852,0.573529,0,0.647059,0.507353,0.588235,0.282472,0,0.411765,0.055644,0,0,0,0,0,0,0.147887,0.169643,0.650407,0.996362,0.151515,0.181507,true,positive
0.269952,0.474825,0.425671,0.500151,0.362553,0.201445,0.297521,0.485294,0.297717,0.297717,0.192164,0.348412,0.528598,0.135069,0.166667,0.471111,0.166667,0.555556,0.176471,0.702479,0.176471,0.514706,0.372746,0.415525,0.081967,0.116505,false,true,0.095238,0.190476,0.452174,0.090909,0.547826,0.05,0.12381,0,0,0.12963,0.716129,0.142857,0.783198,0.058824,0.155556,0.058824,0.180556,0.227273,0.776111,0.090909,0.306122,0.2,0.355556,0.222222,0.37037,0.118644,1,0.102564,1,0,0,0,0,0.145833,0.672727,0.133333,0.607143,0.111111,0.335714,0.125,0.306122,0.190476,0.507246,0.190476,0.597037,0.193548,0.866667,0.208333,0.773148,0.027778,0.133333,0.041667,0.226852,0.433333,0,0.244444,0.575,0.444444,0.424365,0,0,0.643243,0,0,0,0,0,0,0.07277,0.110119,0.327371,0.48704,0.068871,0.113014,false,positive
0.310403,0.518209,0.505604,0.545289,0.318445,0.17495,0.297521,0.470588,0.367998,0.367998,0.243606,0.360267,0.523308,0.154399,0.222222,0.406349,0.222222,0.573123,0.294118,0.702479,0.235294,0.529412,0.322851,0.392279,0.155738,0.15534,false,false,0.190476,0.380952,0.645963,0.136364,0.354037,0.15,0.265306,0,0,0.222222,0.682028,0.171429,0.678492,0.117647,0.222222,0.117647,0.295455,0.363636,0.803175,0.181818,0.398887,0.2,0.253968,0.222222,0.30303,0.20339,0.571429,0.128205,0.606061,0,0,0,0,0.208333,0.436836,0.133333,0.386364,0.111111,0.209184,0.125,0.231911,0.190476,0.331263,0.190476,0.45697,0.354839,0.809524,0.291667,0.814394,0.055556,0.190476,0.041667,0.185606,0.77381,0,0.349206,0.684524,0.793651,0.22335,0,0,0.009009,0,0,0,0,0,0,0.157277,0.166667,0.322106,0.549547,0.151515,0.171233,true,positive
0,0.064858,0.535664,0.673432,1,0.766816,0.102988,0.258824,0,0,0,0.000391,0.975728,0.924598,0,0.041026,0,0.130435,0.176471,0.897012,0.117647,0.741176,0.054185,0.057534,0.008197,0,false,true,0.063492,0.285714,1,0,0,0.1,0.285714,0,0,0.074074,0.367246,0,0,0.117647,0.358974,0.117647,0.65,0.227273,0.980128,0.181818,1,0.2,0.410256,0.222222,0.666667,0.084746,1,0,1,0,0,0,0,0.083333,0.376351,0,0.121429,0.222222,0.659341,0.25,1,0.047619,0.175585,0.047619,0.381333,0.064516,0.538462,0,0.183333,0.083333,0.461538,0.083333,0.816667,1,0,0.846154,0.663462,0,0.377977,0,0,0.130977,0,0,0,0,0,0,0.014085,0,0.053784,0.257844,0.00551,0,false,positive
